author	comment	vote
此木为柴	陈正道是年轻导演里为数不多既靠谱又有想法的，但是无论是《催眠大师》还是《记忆大师》都差那么一口气，看这阵容还是很期待的	0
此用户退出群聊	很想看但对陈正道毫无信心	0
[已注销]	这什么……《定理》还是《拜访者Q》？	0
龙龙	神仙阵容	0
爱吃辣条的老崔	拿奖的题材＋阵容嗷，属实给力，必看！	0
pumawu	赶紧上映吧……	0
Solo	不是翻牌罪恶之家吗？	0
挂名也	期待	0
U-Kumario	老段！	0
改名很烦啊	段奕宏张子枫给我冲😂	0
幻影韩行	喜欢暗黑风格的电影，希望不要跟竹内结子演的那个《毛骨悚然》太相似。看海报有浓浓的精神控制的味道。	0
耶斯莫拉	这个简介看起来很不错的样子，能不能冲奥试试 有点寄生虫的感觉	0
for Lawrence	迟迟没消息	0
皮仔	阵容太强了 期待新片	0
王槑	段	0
橘禁乌	看来记忆总是不肯放过陈导啊	0
市井	有点期待	0
第七夜	期待陈导的新作！这个选角好喜欢！	2
H奶酪	选角导演立刻出来吃鸡腿。	0
啊柒	恰好现在电影院也可以开门了，看了这个导演和演员的阵容我觉得可以期待一下。如果到端午能如期上映的话我或许会去电影院看。	0
硬邦邦	陈正道还行 看到郭富城有点害怕	0
Daff	海报很好看哦	0
奎恩奎恩i	我的妈呀这什么神卡司！！！！	0
阿左	这简介。。。。难道不是要抄袭《罪恶之家〉的套路？？？？	1
未注销	段哥~	0
男神or学霸	因为导演很擅长拍悬疑片，而演员阵容强大，还有很喜欢的张子枫。	4
Z	这是什么神仙阵容？	1
洛藜丶	等妹妹	1
抱水	老段	0
Lundie_Deng	看好张子枫，段奕宏和郭富城。这三应该能撸下几个奖	4
枫雅	肯定是张子枫啦	5
五月碧云天	演员靠谱，期待一下。不知道老段跟郭富城能不能有cp感2333333	0
狂狗狗	金马阵容，lmao	0
默小沉	生日电影	0
Chris	实不相瞒，我觉得郭富城这个角色到最后会是gay…	6
凉月十七	期待子枫	0
面包树	这阵容就两字，必看	0
gdtjv	还是很期待张子枫的	0
Cherry咧	老段！！！终于定档我又可以了嘻嘻	0
Vicky菀	张子枫 段奕宏 许玮宁 都是我喜欢的演员呀	3
Metamon	希望到时候能正常看电影……	0
拒绝翘二郎腿	为了妹妹的这个剧照眼神 都超级期待这部电影	4
⑨	天啊 这个卡司!!!	0
雨过天青的随意	这个导演靠谱	0
Shire	定档了也还得等半年😣
可以在大屏幕上看到老段啦🤩	0
Doblossom	许玮甯！！！	0
二勒个潇	这个阵容很强大…	1
lris	太期待了 撸奖预订	1
二十啷当岁	神仙卡司
城城和老段演双男主，我预定要去电影院二刷。心脏暴击	0
Co没有矩阵	豪华卡司	0
宫偿	哇，又是一部神仙阵容的影片，都是实力派啊，期待	1
陈李柒柒	哇塞我爱的两个男人集结啦，城城你这几年到底拍了多少的戏	0
拎壶冲	这阵容 爱了爱了	0
暖暖的很贴心	预订	0
能量少女	期待期待	0
鸭里士多德	期待！坐等上映！	0
一点点	虽然好晚，但也算终于定档了。	0
想翠儿了吗？	什么时候能上映呢？	0
亦可寻陳	悬疑神卡司，不期待不行！	0
不难过	mark！！！	0
夏日晚风	从“大师”系列到《秘密访客》，陈正道一直是华语影坛悬疑片引领者，他的悬疑片值得期待。	0
Ding	子枫姐！	1
karrymeyrrak	6.25~	0
萤火之森	都是演技派，期待啊啊啊啊	0
昆诺兰汀	我赌陈正道。	0
匿名骨头	2019年度期待  已准备好电影票钱	2
@你的头好大	搓手期待🙆	0
Gunanxing	home sweet home……？？？	0
歌里	段奕宏我来了	0
忍者爱吃鱼	是我喜欢的那种风格，有郭富城期待～	0
没有昵称的昵称	最喜欢看悬疑的片子了，期待	0
为学习戒豆瓣	迷上子枫妹妹	2
一意孤行	郭富城段宏毅啊 必须冲！	0
方方土	卡司可以	0
修远兮	神仙阵容啊	0
Carrie	想早点看到老段的新片	1
莫失莫忘	阵容满意 悬疑类型也对口	0
LaPolinny	妹妹我来了😊	0
任周游	期待张子枫•“汪楚瞳”	3
不想注销了	段奕宏男神啊！！！	0
陌上孤酒	期待郭富城段奕宏	0
言向天边月	想看！！	0
任先生	这个简介为什么有一种《母亲！》的感觉	0
老好人	这卡司....期待值爆表	0
旎氏妹妹	这个阵容，值得期待	0
Donner .	拜访者 Q	0
吼刨馨	老段老段老段	0
Tanqixx	希望如期上映。	0
石头人生	老段的都想看	0
别看了比你靓	爸妈颜值爆表系列	0
钟楼怪人	冲着老段来的，有妹妹就更要看了	0
苏大强	期待陈正道的	0
德芙	组长！！冲鸭！！	0
水仙華	其实我觉得郭富城的电影演技是在线的
段奕宏的话希望这部能把影帝包袱放一放
希望张子枫的角色是暗黑的就好了	0
。	老段的片子错不了👍	0
[已注销]	阵容感人	0
蓝蓝吃土豆	阵容可以，看剧本了。	0
群星的尽头	准备好还老段电影票啦~	0
李寻欢	陈正道+段奕宏+张子枫	1
杂陈东西	老段啊	0
一坨棉花	有子枫妹妹 要去影院支持！	0
扑克面具	预估……伦理片。	0
割脸街	期待一下?	0
鸡腿	组长和子枫妹妹	1
洛伊快跑	2020最期待的电影！	1
-  Remember	张子枫加郭富城是什么组合啊	0
🈚️	想看想看！！！！都是喜欢的演员！	0
想吃火锅的魏魏	秘密访客。	0
空山新雨后	里面好多老戏骨，演技派耶，喜欢看段奕宏演戏，期待下。	0
大头菜嘤	来了	0
